# CodeBrix.LilyPort — the upstream lily/*.cc ledger.
#
# One row per file in upstream lily/ (LilyPond 2.27.2, the pinned reference), so the
# remaining engine work is COMPUTED rather than remembered. EPG0 built it; every later
# EPG session updates the rows it lands.
#
# Columns:
#   1 file          the upstream lily/<file>.cc
#   2 disposition   ported | group | no-port
#   3 detail        ported  -> the C# file(s) carrying it, ';'-separated, repo-relative
#                   group   -> the EPG group that owes it
#                   no-port -> why it has no analogue in the port
#   4 notes         free text; blank for the ordinary cases
#
# Fences (LedgerTests): every upstream file has exactly one row, every 'ported' target
# exists on disk, every 'group' names a real EPG group, and the row set equals the
# upstream file set exactly.
#
# A 'ported' row means the file's TYPE and ALGORITHMS are carried. It does NOT assert
# that the file's LY_DEFINE surface is complete -- the bindings rule (standing rule 3)
# owes that in the same session, and entry-point closure is measured separately against
# Scheme/entry-points.tsv.
#
# Totals: 448 files = 419 ported + 0 grouped + 29 no-port -- CLOSED by EPG23 on
# 2026-08-12; gate G3 is green at 737/737 entry points implemented-or-N/A. (Historic:
# EPG0 opened at 88/331/29;
# EPG1 left 90/329/29; EPG2 and EPG3's first slice moved twenty rows on 2026-08-05;
# EPG3's finish moved five more the same day: paper-outputter(+scheme),
# function-documentation, lily-version, general-scheme. EPG4 moved twelve. EPG13 moved
# nine on 2026-08-05: text-interface, transform(+scheme), stencil-expression,
# stencil-integral, and the four font *-scheme files. Wave A moved SIXTY-FOUR on
# 2026-08-07 in one parallel session: EPG5's nineteen, EPG6's four, EPG7's ten,
# EPG8's nineteen and EPG9's twelve. EPG22 moved SIXTEEN on 2026-08-07: its own
# fifteen -- which empties the group -- plus dispatcher-scheme.cc, pulled forward from
# EPG23 because \addQuote needs ly:add-listener. break-substitution.cc stays EPG15's:
# EPG22 landed only its Direction half, and the row's note says so.)
#
# EPG19 moved THIRTY on 2026-08-08 -- its whole group, with NO pull-forward of any other
# group's FILES: the five audio-*, the four midi-*, midi-cc-announcer, performance(+scheme),
# performer(+group), score-performer, staff-performer and the fourteen concrete performers.
# One LEAF came forward from music-scheme.cc (ly:transpose-key-alist); that file's
# disposition is unchanged and its note says so.
#
# Read this file through PortLedger rather than counting by eye -- these totals are a
# convenience, and LedgerTests computes the real ones.
#
file	disposition	detail	notes
dots-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/DotEngravers.cs	
double-percent-repeat-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/PercentRepeatEngravers.cs	EPG17 (2026-08-07)
drum-note-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/DrumNoteEngraver.cs	first caller of ly_assoc's equal?-branch; SchemeUtilities.LyAssoc added and LyAssocGet's recorded narrowing closed
drum-note-performer.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/NotePerformers.cs	one of the 14 concrete performers
duration-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/MusicPrimitives.cs	EPG23 (2026-08-12) landed the LY_DEFINE surface; the file is a leaf binding file and IS its surface.
duration.cc	ported	src/CodeBrix.LilyPort.Engine/Music/Duration.cs	
dynamic-align-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/DynamicEngravers.cs	
dynamic-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/DynamicEngravers.cs	
dynamic-performer.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/DynamicPerformer.cs	one of the 14 concrete performers
enclosing-bracket.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/Brackets.cs	
engraver-group.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/Engraver.cs	
engraver-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/TranslationPrimitives.cs	
engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/Engraver.cs	
episema-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/EpisemaEngraver.cs	EPG21 (2026-08-09): the one engraver in the group on a LAST span-event listener, because an episema may cover a single neume
event-chord-iterator.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/SequentialIterator.cs	
event-iterator.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/MusicIterator.cs	carried by music-iterator.cc's port, which holds the whole iterator base family
extender-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/LyricEngravers.cs	
figured-bass-continuation.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/FiguredBassContinuation.cs	D24. ONE entry point, not two: Figured_bass_continuation::print is DECLARED upstream and never DEFINED -- the stencil is Scheme's figured-bass-continuation::print from output-lib.scm
figured-bass-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/FiguredBassEngravers.cs	D24: the trio stayed in EPG20. Figure_group is a CLASS here -- upstream mutates it in place through a reference and a struct in a List<T> would drop every mutation
figured-bass-position-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/FiguredBassEngravers.cs	D24
fine-iterator.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/MeasureControlIterators.cs	
fingering-column-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/FingeringEngravers.cs	
fingering-column.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/FingeringColumn.cs	
fingering-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/FingeringEngravers.cs	
flag.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/Flag.cs	
font-config-scheme.cc	no-port	fontconfig bindings — replaced by the port font layer	
font-config.cc	no-port	fontconfig discovery — replaced by the port font layer	
font-interface.cc	ported	src/CodeBrix.LilyPort.Engine/Fonts/FontInterface.cs	
font-metric-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/FontPrimitives.cs	EPG13 (2026-08-05): the engraving half (get-glyph, name, file-name, design-size, magnification) is in Bootstrap/GrobCallbacks.cs; glyph-name-to-index and index-to-charcode here
font-metric.cc	ported	src/CodeBrix.LilyPort.Engine/Fonts/FontMetric.cs	
font-select.cc	ported	src/CodeBrix.LilyPort.Engine/Fonts/FontInterface.cs	
font-size-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/AnnotationEngravers.cs	
footnote-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/FootnoteEngraver.cs	
forbid-break-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/BreakForbidEngravers.cs	carried beside spanner-break-forbid-engraver.cc, which is the same shape
freetype-error.cc	no-port	FreeType error table — replaced by the port font layer	
freetype.cc	no-port	FreeType — replaced by the port font layer (SfntReader/OpenTypeFont/CffFont). Its Path_interpreter + ly_FT_add_outline_to_skyline are reproduced on the charstring interpreter as CffFont.OutlineWalker (2026-08-05); nothing else is wanted	
fretboard-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/FretboardEngraver.cs	first caller anywhere of articulations.cc's articulation_list, ported since Wave A with no user
function-documentation.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/FunctionDocumentation.cs	Mechanism ported 2026-08-05; docstring CONTENT is EPG24's (bindings carry none yet, table honestly sparse)
general-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/GeneralPrimitives.cs	Completed 2026-08-05 (ly:format, ly:rename-file, ly:stderr-redirect, ly:base64-encode); ly:spawn + ly:shutdown-gs + ly:gs-api are N/A per D25 category ps-backend (loud throwing bindings; see entry-point-na-candidates.tsv)
glib-regex-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/RegistryPrimitives.cs	Completed 2026-08-05: ly:regex-quote and ly:regex-exec->list landed, ly:regex-replace gained its rest-list replacements (string / group index / procedure), and ly:regex-exec now answers a GOOPS <regex-match> because scm/lily-library.scm defines the accessors over its slots
global-context-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/TranslationPrimitives.cs;src/CodeBrix.LilyPort.Engine/Bootstrap/OutputPrimitives.cs	
global-context.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/GlobalContext.cs	
global-vars.cc	no-port	C++ translation-unit globals — no analogue	
grace-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/GraceEngravers.cs	EPG17 (2026-08-07): closes the \grace no-op gap the first slice left
grace-iterator.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/GraceIterators.cs	
grace-music.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/GraceIterators.cs	
grace-spacing-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/GraceEngravers.cs	EPG17 (2026-08-07)
gregorian-ligature-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/GregorianLigatureEngraver.cs	EPG21 (2026-08-09): abstract; fix_prefix_set's LINEA-under-the-name-pes_or_flexa is upstream's own text and is reproduced, not corrected
gregorian-ligature.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/GregorianLigature.cs	EPG21 (2026-08-09): the two bit-mask families plus prefixes_to_str; no Scheme callback, ADD_INTERFACE only
grid-line-interface.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/GridLineInterface.cs	
grid-line-span-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/GridEngravers.cs	
grid-point-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/GridEngravers.cs	
grob-array-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/GrobPrimitives.cs	
grob-array.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/GrobArray.cs	
grob-closure.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/GrobClosure.cs	
grob-interface-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/RegistryPrimitives.cs	
grob-interface.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/GrobInterface.cs	
grob-pq-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/GrobPqEngraver.cs	pulled forward from EPG10 by EPG18 (busyGrobs has no other writer)
grob-property.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/Grob.cs	
grob-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/GrobPrimitives.cs;src/CodeBrix.LilyPort.Engine/Objects/Grob.cs	EPG23 (2026-08-12) landed the LY_DEFINE surface; the file is a leaf binding file and IS its surface.
grob-smob.cc	no-port	smob/GC plumbing — the .NET GC replaces it	
grob.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/Grob.cs	
guile-init.cc	no-port	Guile bootstrap — CodeBrix.LilyScheme replaces it	
hairpin.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/Hairpin.cs	
hara-kiri-group-spanner.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/HaraKiriGroupSpanner.cs	
horizontal-bracket-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/AnnotationEngravers.cs	
horizontal-bracket.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/Brackets.cs	
hyphen-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/LyricEngravers.cs	
includable-lexer.cc	ported	src/CodeBrix.LilyPort.Parsing/Lexing/ModalScanner.cs	the lexer's include stack; ModalScanner owns it (Parsing PORT-COVERAGE)
initial-context-music-iterator.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/ContextIterators.cs	
input-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/OriginPrimitives.cs	
input-smob.cc	no-port	smob/GC plumbing — the .NET GC replaces it	
input.cc	ported	src/CodeBrix.LilyPort.Engine/Origins/Input.cs	
instrument-name-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/AnnotationEngravers.cs	
instrument-switch-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/AnnotationEngravers.cs	upstream's stop_translation_time_step is misspelled and never dispatched; reproduced dead
interval-minefield.cc	ported	src/CodeBrix.LilyPort.Engine/Layout/IntervalMinefield.cs	
item-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/TypePredicates.cs;src/CodeBrix.LilyPort.Engine/Bootstrap/GrobPrimitives.cs	EPG23 (2026-08-12) landed the LY_DEFINE surface; the file is a leaf binding file and IS its surface.
item.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/Item.cs	
jump-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/MarkEngravers.cs	
keep-alive-together-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/KeepAliveTogetherEngraver.cs	
key-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/KeyEngraver.cs	
key-performer.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/TimingPerformers.cs	one of the 14 concrete performers
key-signature-interface.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/KeySignatureInterface.cs	
kievan-ligature-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/KievanLigatureEngraver.cs	EPG21 (2026-08-09): the one style whose accidentals stay with their heads, so head widths make room for them
kievan-ligature.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/KievanLigature.cs	EPG21 (2026-08-09): print answers '() by design; registered anyway, because an unregistered stencil binding answers a TRUTHY placeholder
laissez-vibrer-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/LaissezVibrerEngravers.cs	
least-squares.cc	ported	src/CodeBrix.LilyPort.Engine/Layout/LeastSquares.cs	
ledger-line-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/AnnotationEngravers.cs	
ledger-line-spanner.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/LedgerLineSpanner.cs	
ligature-bracket-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/LigatureBracketEngraver.cs	EPG21 (2026-08-09): NOT a Ligature_engraver, upstream or here; it led the sweep's unported-translator list at 4,224 misses because it is in the default Voice context
ligature-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/LigatureEngraver.cs	EPG21 (2026-08-09): abstract; the acknowledgers and the ligature listener live here rather than in each concrete subclass's boot ()
lily-guile-test.cc	no-port	upstream's own C++ test harness — the port has xUnit suites	
lily-guile.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/SchemeUtilities.cs	
lily-imports.cc	no-port	Guile import table — LilyScheme modules replace it	
lily-lexer.cc	ported	src/CodeBrix.LilyPort.Parsing/Session/LilyKeywords.cs;src/CodeBrix.LilyPort.Parsing/Session/LilyParserSession.Lexing.cs;src/CodeBrix.LilyPort.Parsing/Session/LilyParserSession.cs	
lily-modules.cc	no-port	Guile module handles — LilyScheme modules replace it	
lily-parser-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/ParserPrimitives.cs;src/CodeBrix.LilyPort/BatchRunner.cs	Completed 2026-08-05: ly:parse-file and ly:parse-init ride the batch runner's session lifecycle, installed by LilyPondInit once the layers are up
